Company,Name Gara,Address,Phone,Province,Brand,Liên kết
Công ty TNHH Toyota Thanh Xuân,Toyota Thanh Xuân,315 Trường Chinh – Đống Đa – Hà Nội.,0435.656.666,Hà Nội,Toyota,PJICO
Công ty TNHH MTV Toyota Mỹ Đình,Toyota Mỹ Đình,15 Phạm Hùng - Mỹ Đình - Hà Nội,043.768.666,Hà Nội,Toyota,PJICO
Công ty TNHH MTV Toyota Mỹ Đình – Chi nhánh cầu diễn (Toyota Cầu diễn),Toyota Cầu diễn,Km10 + 100 QL 32 TT Cầu Diễn - Từ Liêm - Hà Nội.,,Hà Nội,Toyota,PJICO
Công ty TNHH Toyota Long Biên,TOYOTA LONG BIÊN,Số 7-9 Nguyễn Văn Linh - Gia Thụy - Long Biên - Hà Nội,2403636363,Hà Nội,Toyota,PJICO
Xí nghiệp Toyota Hoàn Kiếm Hà Nội,Toyota Hoàn Kiếm Hà Nội,"Số 7, Phố Đặng Thái Thân, Phan Chu Trinh, Hoàn Kiếm",,Hà Nội,Toyota,PJICO
Công ty liên doanh Toyota Giải Phóng,Toyota Giải Phóng,"807 Giải Phóng, hoàng Mai, HN",436640124,Hà Nội,Toyota,PJICO
Chi nhánh liên doanh Toyota Giải Phóng- Chi nhánh pháp vân,Toyota Giải Phóng- Chi nhánh pháp vân,"Hoàng Liệt Hoàng Mai, HN",,Hà Nội,Toyota,PJICO
Công ty cổ phần Toyota IDMC Hoài Đức,Toyota IDMC Hoài Đức,"Km 15 + 575 Quốc lộ 32, Thị Trấn Trạm Trôi, Huyện Hoài Đức, TP Hà Nội, Việt Nam",,Hà Nội,Toyota,PJICO
Công ty cổ phần Toyota Thăng Long,Toyota Thăng Long,"Số 316 Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội",,Hà Nội,Toyota,PJICO
Công ty Cổ phần Toyota Thái Hòa Từ Liêm,Toyota Thái Hòa Từ Liêm,"Ngã 3 Tố Hữu, Mộ Lao, P.Đại Mỗ, Nam Từ Liêm, HN",,Hà Nội,Toyota,PJICO
Công ty cổ phần đầu tư kinh doanh tổng hợp D&C (Honda Mỹ Đình),Honda Mỹ Đình,"Số 2, đường Lê Đức Thọ, Phường Mai Dịch, Q. Cầu Giấy, Tp. Hà Nội, VN",,Hà Nội,Honda,PJICO
Công ty TNHH MTV Kinh doanh ô tô Thăng Long ( Thăng Long Ford),Thăng Long Ford,105 Láng Hạ - Đống Đa – Hà Nội,,Hà Nội,Ford,PJICO
Công ty cổ phần kinh doanh Ô tô Thủ Đô (Ford Thủ Đô),Ford Thủ Đô,Km số 8 đường Giải Phóng Pháp Vân – Hoàng Liệt - Hoàng Mai – Hà Nội,2436811888,Hà Nội,Ford,PJICO
Công ty TNHH MTV kinh doanh ô tô Thanh Xuân (Thanh Xuân Ford),Thanh Xuân Ford,"88 Nguyễn Xiển – Hạ Đình - Thanh Xuân
  – Hà Nội",,Hà Nội,Ford,PJICO
Công ty CP Hà Thành ô tô (Ford Hà Thành),Ford Hà Thành,Số 2 Tôn Thất Thuyết,2433662566,Hà Nội,Ford,PJICO
Công ty TNHH MTV kinh doanh và dịch vụ ô tô Long Biên (Ford Long Biên),Ford Long Biên,"3 Nguyễn Văn Linh, Long Biên, HN",024 3576 3333,Hà Nội,Ford,PJICO
Công ty TNHH MTV Kinh Doanh và dịch vụ ô tô Hà Nội (Ford HN),Ford HN,313 Trường Chinh – Đống Đa – Hà Nội.,,Hà Nội,Ford,PJICO
Xí nghiệp sửa chữa ô tô Tây Mỗ - Chi nhánh Công ty cổ phần AHD Thăng Long (Ford Tây Mỗ),Ford Tây Mỗ,"Tổ dân phố Nhuệ Giang, Phường Tây Mỗ, Q. Nam Từ Liêm, Hà Nội",437653488,Hà Nội,Ford,PJICO
Công ty cổ phần truyền thông và dữ liệu thanh toán An Du (Mercedes An Du),Mercedes An Du,11 Phạm Hùng - Mỹ Đình - Hà Nội,2437686762,Hà Nội,Mercedes,PJICO
Công ty TNHH ô tô Ngôi Sao Việt Nam (Mercedes Ngôi Sao),Mercedes Ngôi Sao,"Lô D5-1, khu công nghiệp Hà Nội - Đài Tư, Q. Long Biên, Hà Nội",,Hà Nội,Mercedes,PJICO
Chi nhánh công ty CP DV ô tô Hàng Xanh tại Hà Nội (Mercedes Haxaco),Mercedes Haxaco,"Số 46 Láng Hạ, Phường Láng Hạ, Quận Đống Đa,TP Hà Nội.",,Hà Nội,Mercedes,PJICO
Mercedes Haxaco Kim Giang,Mercedes Haxaco Kim Giang,"256 Kim Giang, Đại Kim, Hoàng Mai, HN",,Hà Nội,Mercedes,PJICO
Công ty CP Nacen Service (Mercedes NacenService),Mercedes NacenService,Lô 2 - Số 1 - Lê Quang Đạo - Mỹ Đình - Hà Nội,,Hà Nội,Mercedes,PJICO
Công ty cổ phần XNK Công Nghệ Nacenimex (Mercedes Nacenimex),Mercedes Nacenimex,"32 Đại Từ, Hoàng Mai, Hà Nội.",,Hà Nội,Mercedes,PJICO
Công ty cổ phần ô tô Ngôi sao Hà nội (Mercedes Hà Nội),Mercedes Hà Nội,"93 đường Thạch Bàn, phường Thạc Bàn, quận Long Biên, TP Hà Nội",,Hà Nội,Mercedes,PJICO
Công ty TNHH Motor N.A Việt Nam (Honda Tây Hồ),Honda Tây Hồ,"197A đường Nghi Tàm – Yên Phụ - 
 Tây Hồ - Hà Nội",,Hà Nội,Honda,PJICO
Công ty cổ phần tập đoàn Thái Bình - Chi nhánh Hoàng Mai (Honda Giải Phóng),Honda Giải Phóng,Km 9 - QL 1A - P. Hoàng Liệt - Q Hoàng Mai - Hà Nội,,Hà Nội,Honda,PJICO
Honda ô tô Long biên,Honda ô tô Long biên,"447 Nguyễn Văn Linh, Phúc Đồng, Long biên, Hà nội",,Hà Nội,Honda,PJICO
Mitshubishi Kim liên Hà nội,Mitshubishi Kim liên Hà nội,"26 Phạm Văn Đồng, Xuân Đỉnh, Bắc Từ Liêm, HN",,Hà Nội,Mitsubishi,PJICO
Mitshubishi Cầu Diễn,Mitshubishi Cầu Diễn,"Tổ 15, Phường Phúc Diễn, Q. Bắc Từ Liêm, TP Hà Nội",,Hà Nội,Mitsubishi,PJICO
Mitshubishi An Dân,Mitshubishi An Dân,"Số 1, Nguyễn Văn Linh, Gia Thụy, Q. Long Biên, Hà Nội",,Hà Nội,Mitsubishi,PJICO
Công ty cổ phần AHCOM Long Biên (Nissan Long Biên),Nissan Long Biên,467 Nguyễn Văn Linh – phường Phúc Đồng - quận Long Biên – Hà Nội,,Hà Nội,Nissan,PJICO
Công ty cổ phần ô tô Thành An (Hyundai Long Biên),Hyundai Long Biên,Tổ 24 – TT Đông Anh – huyện Đông Anh – TP Hà Nội,2438736097,Hà Nội,Hyundai,PJICO
Công ty cổ phần ô tô Thành Công Đông Anh (Huyndai Đông Anh),Huyndai Đông Anh,"Tổ 25, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",,Hà Nội,Hyundai,PJICO
Hyundai Lê Văn Lương,Hyundai Lê Văn Lương,"Số 3, Vũ Phạm Hàm, Trung Hòa, Cầu Giấy, HN",,Hà Nội,Hyundai,PJICO
Hyundai Đông Đô,Hyundai Đông Đô,"987 Tam Chinh, Yên Sở, Hoàng Mai, Hà nội",,Hà Nội,Hyundai,PJICO
Nissan Phạm Văn Đồng,Nissan Phạm Văn Đồng,"26 Phạm Văn Đồng, Bắc Từ Liêm, HN",,Hà Nội,Nissan,PJICO
Mazda Lê Văn Lương,Mazda Lê Văn Lương,"105 Nguyễn Tuân, Thanh Xuân, HN",,Hà Nội,Mazda,PJICO
Mazda Nguyễn Trãi,Mazda Nguyễn Trãi,"497 Nguyễn Trãi, Thanh Xuân, HN",,Hà Nội,Mazda,PJICO
Mazda Giải Phóng,Mazda Giải Phóng,"Số 5, đường Ngọc Hồi, P. Hoàng Liệt, Q. Hoàng Mai, TP. Hà Nội",,Hà Nội,Mazda,PJICO
Mazda Long Biên,Mazda Long Biên,"Khu A, nhà máy Z133, Tổ 32, Đường Ngọc Thụy, P. Ngọc Thụy, Long Biên, Hà Nội",,Hà Nội,Mazda,PJICO
Mazda Trần Khát Chân,Mazda Trần Khát Chân,"Số 07, đường Lương Yên, Phường Bạch Đằng, Q. Hai Bà Trưng, HN",,Hà Nội,Mazda,PJICO
