Index\,Group,NumberOfThreads,NumberOfArticles,Source
1,Audi,1900,36600,Otosaigon
2,BMW,8200,204400,Otosaigon
3,FIAT,2500,98400,Otosaigon
4,FORD,10100,303800,Otosaigon
5,GM CHEVROLET,8900,297500,Otosaigon
6,HUYNDAI,8800,282200,Otosaigon
7,HONDA,7200,370000,Otosaigon
8,INFINITY,144,3600,Otosaigon
9,ISUZU,858,18500,Otosaigon
10,MITSUBISHI,6500,365000,Otosaigon
11,MERCEDES-BENZ,7400,198100,Otosaigon
12,KIA,8900,322800,Otosaigon
13,MAZDA,5300,192200,Otosaigon
14,LEXUS,744,32100,Otosaigon
15,NISSAN,2200,46700,Otosaigon
16,RENAULT,256000,4300,Otosaigon
17,SUBARU,888,25400,Otosaigon
18,SUZUKI,2100,97900,Otosaigon
19,TOYOTA,10900,681700,Otosaigon
20,VOLKSWAGEN,906,14500,Otosaigon
21,VOLVO,198000,3500,Otosaigon
22,VINFAS,480000,31800,Otosaigon
23,Supercar,1000,31100,Otosaigon
24,OTHER,7300,292200,Otosaigon
