,Name,Phone,Brand,Province,Quantity
0,Subaru Thăng Long,0965986908,Subaru,Hà Nội,4
1,Toyota Long Thành – Đồng Nai,0909 810 175,Toyota,Đồng Nai,40
2,KIA Đắk Lắk,0969448335,Kia,Đắk Lắk,54
3,MINI Bình Dương,0969448335,Multibrand,Bình Dương,10
4,KIA Bình Thuận,0938901344,Kia,Bình Thuận,54
5,Mitsubishi Bà Rịa – Vũng Tàu,0969448335,Mitsubishi,Bà Rịa-Vũng Tàu,14
6,KIA Cam Ranh,0969448335,Kia,Khánh Hoà,54
7,Mitsubishi Trường Chinh,0969448335,Mitsubishi,Tp Hcm,14
8,Volkswagen An Phú,0969448335,Volkswagen,Tp Hcm,11
9,Mitsubishi Bắc Giang,0969448335,Mitsubishi,Bắc Giang,14
10,Peugeot Phú Nhuận,0969448335,Peugeot,Tp Hcm,9
11,KIA Đông Thọ,0969448335,Kia,Thanh Hóa,54
12,Volkswagen I.D Auto,0963086699,Volkswagen,Hà Nội,11
13,Hưng Yên Ford,0969448335,Ford,Hưng Yên,13
14,Peugeot Bà Rịa,0969448335,Peugeot,Bà Rịa-Vũng Tàu,9
15,KIA Long Thành,0962844581,Kia,Đồng Nai,54
16,Toyota Yên Bái,0969448335,Toyota,Yên Bái,40
17,Peugeot Yên Bái,0969448335,Peugeot,Yên Bái,9
18,VinFast Bà Triệu,0969448335,Vinfast,Hà Nội,15
19,VinFast Bắc Từ Liêm,0969448335,Vinfast,Hà Nội,15
20,VinFast Nguyễn Văn Linh,0969448335,Vinfast,Hà Nội,15
21,VinFast Quốc Oai,0969448335,Vinfast,Hà Nội,15
22,MINI Sala,0969448335,Multibrand,Tp Hcm,10
23,MINI Đà Nẵng,0969448335,Multibrand,Đà Nẵng,10
24,MINI Long Biên,0969448335,Multibrand,Hà Nội,10
25,MINI Nguyễn Văn Trỗi,0969448335,Multibrand,Tp Hcm,10
26,MINI Lê Văn Lương,0969448335,Multibrand,Hà Nội,10
27,MINI Lê Duẩn,0969448335,Multibrand,Hà Nội,10
28,Nissan Hải Dương,0969448335,Nissan,Hải Dương,7
29,Maserati Hà Nội,0969448335,Multibrand,Hà Nội,3
30,Maserati Lê Duẩn,0969448335,Multibrand,Tp Hcm,3
31,Jaguar Phú Thái Hồ Chí Minh,0969448335,Multibrand,Tp Hcm,22
32,Jaguar Phú Thái Hà Nội,0969448335,Multibrand,Hà Nội,22
33,Suzuki Sodinha Quảng Trị,0969448335,Suzuki,Quảng Trị,7
34,Suzuki Thịnh Hưng,0969448335,Suzuki,Đà Nẵng,7
35,Suzuki Thịnh Phát,0969448335,Suzuki,Bà Rịa-Vũng Tàu,7
36,Suzuki Trọng Thiện,0969448335,Suzuki,Hải Phòng,7
37,Suzuki Vân Đạo Hà Nội,0969448335,Suzuki,Hà Nội,7
